,responsibilities,requirements,url,text
.Net Developer,"Participate in requirements analysis
Collaborate with internal teams to produce software design and architecture
Write clean, scalable code using .NET programming languages
Test and deploy applications and systems
Revise, update, refactor and debug code
Improve existing software
Develop documentation throughout the software development life cycle (SDLC)
Serve as an expert on applications and provide technical support
","Proven experience as a .NET Developer or Application Developer
Familiarity with the ASP.NET framework, SQL Server and design/architectural patterns (e.g. Model-View-Controller (MVC))
Knowledge of at least one of the .NET languages (e.g. C#, Visual Basic .NET) and HTML5/CSS3
Familiarity with architecture styles/APIs (REST, RPC)
Understanding of Agile methodologies
Excellent troubleshooting and communication skills
Attention to detail
BSc/BA in Computer Science, Engineering or a related field
",https://resources.workable.com/net-developer-job-description,".Net Developer job descriptionIn this role, you should be able to write functional code with a sharp eye for spotting defects. You should be a team player and excellent communicator. If you are also passionate about the .NET framework and software design/architecture, we’d like to meet you.
Your goal will be to work with internal teams to design, develop and maintain software.
"
Account Coordinator,"Prepare, file and retrieve sales-related documents, like contracts
Design and renew sales proposals
Update internal databases with account information
Coordinate meetings, calls and demos for the Account Management team
Conduct research on prospective clients
Liaise with internal teams to ensure proper pre-and post-sales service
Communicate customer feedback to Marketing, Sales and Product Development teams
Create detailed reports of campaigns’ results
Perform market and competitive research
Help create promotional materials (e.g. presentations and videos)
","Proven work experience as an Account Coordinator, Sales Coordinator or similar role
Excellent computer skills (MS Office in particular)
Hands-on experience with CRM software
Experience with marketing/advertising campaigns
Organizational and time-management skills
Strong communication skills with a problem-solving attitude
BSc in Business Administration, Marketing or relevant field
",https://resources.workable.com/account-coordinator-job-description,"Account Coordinator job descriptionUltimately, you will drive growth to our company by being an essential part of the Account Management team.
"
Account Director,"Plan budgets and activities for account management in the company
Set up goals and objectives for all subordinate staff
Provide feedback and counsel to account staff to meet quotas/objectives 
Conduct performance evaluation using key metrics
Serve as the point of contact for customers in your portfolio
Understand customer requirements and needs to offer suitable solutions and generate new business
Ensure the timely delivery of services and products to clients
Resolve issues to maintain and strengthen customer trust
Read reports of subordinates and communicate overall quarterly/annual progress to senior management and external stakeholders
","Proven experience as an account director or similar position
Demonstrable experience in negotiation and meeting client requirements
Solid understanding of budgeting and reporting on progress
Knowledge of performance evaluation techniques and metrics
Working knowledge of MS Office and/or relevant software (e.g. Salesforce)
Excellent communication and interpersonal abilities with aptitude in fostering long-term relationships
Outstanding organizational and leadership skills
BSc/BA in business administration, sales or relevant field
",https://resources.workable.com/account-director-job-description,"Account Director job descriptionAn effective Account director has great aptitude in building and maintaining customer relationships. They also possess excellent planning and leadership abilities to coordinate and advise account managers, supervisors and executives.
The goal is to ensure the company’s retention of clientele and facilitate further growth.
"
Account Executive,"Create detailed business plans to facilitate the attainment of goals and quotas
Manage the entire sales cycle from finding a client to securing a deal
Unearth new sales opportunities through networking and turn them into long term partnerships
Present products to prospective clients
Provide professional after-sales support to enhance the customers’ dedication
Remain in frequent contact with the clients in your responsibility to understand their needs
Respond to complaints and resolve issues aiming to customer contentment and the preservation of the company’s reputation
Negotiate agreements and keep records of sales and data
","Proven experience as an Account Executive, or in other sales/customer service role
Knowledge of market research, sales and negotiating principles
Outstanding knowledge of MS Office; knowledge of CRM software (eg. Salesforce) is a plus
Excellent communication/presentation skills and ability to build relationships
Organizational and time-management skills
A business acumen
Enthusiastic and passionate
BSc or BA in business administration, sales or marketing
",https://resources.workable.com/account-executive-job-description,"Account Executive job descriptionThe ideal candidate will have talent in sales and experience in customer service. We expect you to be a reliable professional able to achieve balance between customer orientation and a results-driven approach.
The goal is to find opportunities and turn them in long-term profitable relationships based on trust and mutual satisfaction.
"
Account Manager,"Serve as the lead point of contact for all customer account management matters
Build and maintain strong, long-lasting client relationships
Negotiate contracts and close agreements to maximize profits
Develop trusted advisor relationships with key accounts, customer stakeholders and executive sponsors
Ensure the timely and successful delivery of our solutions according to customer needs and objectives
Clearly communicate the progress of monthly/quarterly initiatives to internal and external stakeholders 
Develop new business with existing clients and/or identify areas of improvement to meet sales quotas
Forecast and track key account metrics (e.g. quarterly sales results and annual forecasts)
Prepare reports on account status
Collaborate with sales team to identify and grow opportunities within territory 
Assist with challenging client requests or issue escalations as needed
","Proven work experience as an Account Manager, Key Account Manager, Sales Account Manager, Junior Account Manager or relevant role
Demonstrable ability to communicate, present and influence key stakeholders at all levels of an organization, including executive and C-level
Solid experience with CRM software (e.g. Salesforce, Zoho CRM or HubSpot) and MS Office (particularly MS Excel)
Experience delivering client-focused solutions to customer needs
Proven ability to juggle multiple account management projects at a time, while maintaining sharp attention to detail
Excellent listening, negotiation and presentation abilities
Strong verbal and written communication skills
BA/BS degree in Business Administration, Sales or relevant field
",https://resources.workable.com/account-manager-job-description,"Account Manager job descriptionWe are looking for an Account Manager to create long-term, trusting relationships with our customers. The Account Manager’s role is to oversee a portfolio of assigned customers, develop new business from existing clients and actively seek new sales opportunities.
Account management responsibilities include developing strong relationships with customers, connecting with key business executives and stakeholders and preparing sales reports. Account Managers also answer client queries and identify new business opportunities among existing customers. In this role, you will liaise with cross-functional internal teams (including Customer Service and Product Development departments) to improve the entire customer experience. This position may require occasional travel. 
If you are familiar with account management software (CRM), have a flair for client communication and understand consumer behavior, we’d like to meet you. Ideally, candidates for this role will know how to meet ambitious individual and team-wide sales quotas. 
Ultimately, a successful Account Manager should collaborate with our sales team to achieve quotas while keeping our clients satisfied and engaged with our products and services in the long-run.  
"
Account Representative,"Be the main point of contact of assigned customers
Negotiate contracts and handle paperwork (e.g. invoices, orders)
Follow up regularly after closing a sale to ensure client satisfaction
Respond promptly to customer queries and complaints to find solutions and defuse tension
Pass on issues to account managers when needed
Present new or additional products and services to existing customers
Approach prospective clients through cold-calling, email etc. to meet sales targets
Send reports on sales activity, accounts status and possible issues
","Proven experience as an Account Representative or other sales role
Experience in customer service is a plus
Proficient in MS Office; familiarity with Salesforce
Strong communication and negotiation skills
Excellent organizational and multitasking ability
Assertiveness and confidence
Goal-driven with ability to work under pressure
Good problem-solving skills
High school diploma; BSc/BA in business is a plus
",https://resources.workable.com/account-representative-job-description,"Account Representative job descriptionWe expect you to be an energetic, goal-driven person with excellent communication skills. This role may often be challenging so you should be able to remain calm and polite in tough situations. If you also have some experience in sales or customer service, we’d like to meet you.
Your goal will be to foster long-term relationships with clients and help grow our business.
"
Account Supervisor,"Lead account executives and account representatives
Allocate new accounts and tasks to team members
Monitor team performance and give guidance when needed
Provide strategic insight to clients’ programs
Oversee execution, analysis and optimization of marketing plans
Communicate with clients daily to ensure satisfaction
Review recommendations for ad and communication campaigns
Manage accounts’ financial aspects (budgets, contracts, fees etc.)
Report on activities and accounts
","Proven experience as an Account Supervisor
Solid account management and customer service experience
Experience in project management
Familiarity with budgeting and reporting
Knowledge of online marketing and advertising
Proficient in MS Office and social media
Excellent communication skills
Outstanding organizational abilities
Strategic thinking
BSc/BA in Marketing, Communications or a related field
",https://resources.workable.com/account-supervisor-job-description,"Account Supervisor job descriptionIn this role, you should be an excellent communicator and effective leader who can supervise multiple programs and team members. If you also have a solid background in account management and advertising, we’d like to meet you.
Your goal will be to ensure high-quality service to our clients and that our account department runs smoothly and profitably.
"
Accountant,"Manage all accounting operations based on accounting principles
Prepare budget and financial forecasts
Publish financial statements in time
Conduct month-end and year-end close process
Collect, analyze and summarize account information
Compute taxes and prepare tax returns, balance sheet, profit/loss statement etc
Develop periodic reports for management
Audit financial transactions and document accounting control procedures
Keep information confidential and secure them with random database backups
Keep up with financial policies, regulation and legislation
","Proven working experience as a cost accountant or in a relevant field
Thorough knowledge of accounting and corporate finance principles and procedures
Excellent accounting software user
Strong attention to detail and confidentiality
Advanced degree in Accounting
CPA or CMA preferred
",https://resources.workable.com/accountant-job-description,Accountant job description
Accounting,,,https://resources.workable.com/category/job-descriptions/accounting-job-descriptions/,
Accounting Clerk,"Provide accounting and clerical support to the accounting department
Type accurately, prepare and maintain accounting documents and records
Prepare bank deposits, general ledger postings and statements
Reconcile accounts in a timely manner
Daily enter key data of financial transactions in database
Provide assistance and support to company personnel
Research, track and restore accounting or documentation problems and discrepancies
Inform management and compile reports/summaries on activity areas
Function in accordance with established standards, procedures and applicable laws
Constantly update job knowledge
","Proven accounting experience, preferably as an Accounts receivable clerk or Accounts payable clerk
Familiarity with bookkeeping and basic accounting procedures
Competency in MS Office, databases and accounting software
Hands-on experience with spreadsheets and financial reports
Accuracy and attention to detail
Aptitude for numbers
Ability to perform filing and record keeping tasks
Data entry and word processing skills
Well organized
High school degree
Associate’s degree or relevant certification is a plus
",https://resources.workable.com/accounting-clerk-job-description,"Accounting Clerk job descriptionAccounting Clerk responsibilities include keeping financial records updated, preparing reports and reconciling bank statements. You will also run accounting software programs (e.g. SAP) to process business transactions, like accounts payable and receivable, disbursements, expense vouchers and receipts. A successful accounting assistant should be familiar with all accounting procedures and have a flair for numbers.
Ultimately, a successful Accounting Clerk will ensure that the company’s daily accounting functions run accurately and effectively.
"
